127.0.0.1 - - [08/May/2022:18:37:28 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:30 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:30 +0300] "GET /Myynti/css/main.css HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:31 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:31 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:34 +0300] "GET /Myynti/lisaaasiakas.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:34 +0300] "GET /Myynti/scripts/main.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [08/May/2022:18:37:59 +0300] "POST /Myynti/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:00 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:00 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:04 +0300] "DELETE /Myynti/asiakkaat/16 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:08 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:32 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:32 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:34 +0300] "GET /Myynti/lisaaasiakas.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:45 +0300] "POST /Myynti/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:46 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:46 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:49 +0300] "DELETE /Myynti/asiakkaat/17 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [08/May/2022:18:38:52 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:42:56 +0300] "GET /Myynti/muutaasiakas.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [08/May/2022:18:52:14 +0300] "GET /Myynti/muutaasiakas.jsp HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [08/May/2022:18:52:14 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [08/May/2022:18:52:15 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [08/May/2022:18:52:16 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:54:18 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [08/May/2022:18:54:19 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:57:19 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [08/May/2022:18:57:19 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:18:57:21 +0300] "GET /Myynti/muutaasikas.jps?asikas_id=10 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:41 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:42 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:43 +0300] "GET /Myynti/muutaasikas.jps?asikas_id=1 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:46 +0300] "GET /Myynti/muutaasikas.jps?asikas_id=2 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:48 +0300] "GET /Myynti/muutaasikas.jps?asikas_id=10 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/May/2022:19:13:53 +0300] "GET /Myynti/muutaasikas.jps?asikas_id=10 HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:05 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:06 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:06 +0300] "GET /Myynti/muutaasiakas.jps?asikas_id=1 HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:13 +0300] "GET /Myynti/muutaasiakas.jps?asikas_id=2 HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:25 +0300] "GET /Myynti/muutaasiakas.jsp HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:25 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:42 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:42 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:43 +0300] "GET /Myynti/muutaasiakas.jsp?asikas_id=1 HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:43 +0300] "GET /Myynti/asiakkaat/haeyksi/undefined HTTP/1.1" 500 1276
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:48 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:48 +0300] "GET /Myynti/asiakkaat/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:50 +0300] "GET /Myynti/lisaaasiakas.jsp HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [08/May/2022:19:15:51 +0300] "GET /Myynti/listaaasiakkaat.jsp HTTP/1.1" 200 2769
